"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"mds1",0.583203990036119,0.566725525517253,0.54277678709702,0.645619980334872,0.638594730936408,0.600312558516381,0.622252039834428,0.67452551401697,0.6482962062983,0.607659132035282,0.627916146143848,0.657681718269527,0.688757465034592,0.708908022982598,0.692376606058014,0.66795132785042,0.614135235559191,0.588231560924119,0.593369687330946,0.595930509812715,0.596501218440019,0.617156632956191,0.62798623803213,0.638978815857699,0.631827323301774,0.613374731346192,0.684590791797532,0.724882296798514,0.747995363065965,0.697523021459026,0.619312806691447,0.593832785150987,0.627164186097487,0.653393663131899,0.689893998256984,0.70020796343782,0.685848686946034,0.698583791498544,0.721207018585847,0.733230820873424,0.733147211906167,0.723987620433395,0.716674662574359,0.713538416984725,0.728486635842754,0.728954005318513,0.723037420596627,0.723673469647681,0.711796849701693,0.695652031223047
"mds1",0.583203990036119,0.595994463268127,0.639326847629282,0.630962205105487,0.528042661964474,0.679443842636215,0.685423245010049,0.634544966483432,0.603128691606766,0.582649946494318,0.545812562334595,0.510679698532722,0.512418165344143,0.498176024021084,0.494006911079954,0.509255414767192,0.490970653112255,0.470423361876289,0.466964150081419,0.487609159313393,0.476632023333368,0.450079019561193,0.435872379344883,0.437790906101943,0.448561976805193,0.429438096526636,0.357030790782298,0.380639589637828,0.424028285129413,0.393150843954649,0.345711259946946,0.304294956048105,0.279746884131206,0.251133521593604,0.229274242226102,0.21629567363688,0.21965785380009,0.223058903243315,0.232862700786336,0.238782179881531,0.243107530819433,0.244480840301424,0.248491642990005,0.252659525618436,0.254907448877962,0.249217859935769,0.243009815951707,0.240605683889301,0.238991298810579,0.237532908817917
"mds1",0.583203990036119,0.520194958935256,0.605153502346571,0.628253076368162,0.692214446803839,0.694287805735994,0.583989789252383,0.563801127582407,0.586672517451356,0.648129528285673,0.687942335442566,0.676332308750205,0.622830489248366,0.612219478578288,0.588307308316644,0.592244665366369,0.624120434653787,0.613854204667135,0.604650696468895,0.595523655719696,0.578176782041406,0.586774095274429,0.586533632756111,0.600888343613202,0.627066862272763,0.658048798049518,0.707809773807235,0.723402105807028,0.750146195339798,0.736190922366969,0.706235703656049,0.682502791014882,0.688381330592238,0.707821549066627,0.737351853923245,0.75424855644177,0.749496022940182,0.752102947657969,0.761025231531186,0.759138310797796,0.777550567834451,0.775436369718226,0.791028205769327,0.794409587897429,0.799564557874658,0.811377429915764,0.811486008181672,0.803742192663469,0.788923044195603,0.775935121706883
"mds1",0.583203990036119,0.62986286109003,0.602174254772046,0.644774920788724,0.655406027083524,0.627075559850526,0.561122224192965,0.52186660699888,0.433177880042567,0.420587481119121,0.42166734450653,0.397365367708959,0.405549123566404,0.384660629172217,0.367149143299824,0.35791106292707,0.334587261426424,0.296357416094457,0.266559912678082,0.246343536520517,0.24373422637432,0.241457173973175,0.241746842455566,0.243541320277821,0.246971587387835,0.249917391342844,0.255502984458322,0.239446410496053,0.216860339293119,0.201956606493311,0.187356041274696,0.17866053102434,0.171283407912292,0.159937857040197,0.160302162296788,0.162250704264888,0.163607555764423,0.16566984256237,0.167950293368352,0.170608558103956,0.173315104603817,0.167960718916382,0.161017335089549,0.153588815487598,0.145073903723295,0.136605627396761,0.127871245515742,0.123823942981769,0.120350944943522,0.116829124057038
"mds1",0.583203990036119,0.682335472805632,0.643976174083675,0.666165116165838,0.661011778285909,0.684744140209277,0.720270049778108,0.672182964832239,0.670927399210449,0.659984804636352,0.667101202418118,0.646734203750344,0.625930078050181,0.660541332960559,0.656476407649088,0.665756261122561,0.713732010918054,0.672323366166234,0.677925678149953,0.681147084369301,0.729714492047452,0.76481621742915,0.753810406057724,0.764310368807263,0.778348471581023,0.740099641833731,0.716411892147129,0.807071803975404,0.779505991652462,0.803606059916192,0.776275715819075,0.761635057028283,0.753353936782459,0.799637992929854,0.829696046694214,0.823710872043208,0.796829724851283,0.82583298610651,0.83554717588504,0.823727927635194,0.804613155569234,0.793342931003259,0.780298808418989,0.78503117219662,0.800566780204316,0.826161160612761,0.85246251634482,0.857863530560789,0.857731466601614,0.858036051774443
"mds1",0.583203990036119,0.660219341677146,0.688895009634199,0.595366447459872,0.478505772551615,0.447366517117796,0.470539635435326,0.431978623134582,0.445909200962432,0.435734571458959,0.416504762413451,0.414381585637098,0.418500892786928,0.434870662727779,0.443550160819143,0.374189791897567,0.3169378826142,0.286960886443006,0.285120752185428,0.283860299858193,0.283001340468506,0.282425146109647,0.277166344898333,0.269467277182136,0.262985595878217,0.256036203705202,0.235096808053451,0.220573958858113,0.220283891612082,0.225081561389228,0.230723182901495,0.238210880488324,0.245527347317662,0.254954157083364,0.264242826983358,0.273373904788405,0.281940689834232,0.289281835472734,0.297643929654525,0.301585645417038,0.304916862753536,0.308375866567935,0.312141044904847,0.315366480872936,0.317941759607205,0.321101768407427,0.323435113697537,0.325485695985759,0.32694948722758,0.327359143650847
"mds1",0.583203990036119,0.677859815400858,0.664766019793425,0.696730217005327,0.714285822034314,0.740884328648436,0.653457767804475,0.556378363161125,0.598707125242449,0.610183152103219,0.593345377016999,0.660275135908825,0.667609506620784,0.69678639904182,0.723633943488998,0.72342517546676,0.705569581309517,0.643541043283546,0.626401606711981,0.642832995221041,0.656632198609089,0.681197988880645,0.719925034237138,0.7235770196457,0.728701097510291,0.744439683405099,0.695261616409789,0.793831572083172,0.824501753431213,0.80663964292037,0.788645140139777,0.786274671944406,0.806879655812796,0.827288006766901,0.836360452751706,0.852498001648162,0.862885945326451,0.866897399586494,0.868508543639182,0.866252008474254,0.867666743008675,0.869701533999059,0.87165709957277,0.874251911254011,0.875252600935018,0.873704167469188,0.874332881579539,0.879663472064813,0.885831886547384,0.891470133481067
"mds1",0.583203990036119,0.648150849605992,0.675431266543357,0.547004588983525,0.468493446261638,0.41567124368141,0.493541928977833,0.497053951737236,0.442698742405427,0.401719642354229,0.412960944408707,0.396907694388144,0.381983729723641,0.36624233092031,0.34936491762138,0.335319851201106,0.329110141387016,0.32461114440317,0.322078020464783,0.318498865503834,0.315882648334381,0.317666705378556,0.320749361547313,0.323888679115295,0.327670697439491,0.331527261912277,0.349428298902919,0.361958305472459,0.35784595164114,0.363447875354127,0.367597621193583,0.358757517915719,0.348600540955172,0.340810649736216,0.342113904368634,0.349489991458675,0.356837742440091,0.363933689955036,0.370510650860047,0.377588182756435,0.384859515575489,0.390234525570168,0.395964074700148,0.400904754952368,0.405383715298904,0.39981485705654,0.377379999520798,0.377485956896082,0.378133186061653,0.379723915840671
"mds1",0.583203990036119,0.596963387984624,0.737927759363778,0.751657581165044,0.784619611096888,0.762745970806814,0.738981466577572,0.733069857791065,0.74625539594067,0.751442182561905,0.73374597540472,0.729805927891799,0.732767824010877,0.733279046743927,0.737529010688537,0.739880355153489,0.737761868690134,0.729902450442496,0.732256321128837,0.739091930762322,0.750379157305142,0.747305525728962,0.741236934428508,0.749078306829189,0.754810006330159,0.756128949838754,0.767119584565229,0.802734982463432,0.813083918709815,0.821823627084499,0.835692252998186,0.842109145972184,0.852256983005619,0.8811396626894,0.896857778775906,0.902579203410218,0.896947812997676,0.889437837157007,0.896025532319432,0.902806070545467,0.908072452285877,0.909211323976854,0.911021498782483,0.910558414905834,0.913031966102026,0.914969224400559,0.916595529543242,0.917407652012828,0.918596572452625,0.919600505615556
"mds1",0.583203990036119,0.781147042542828,0.722029200427018,0.596042885007044,0.550120628804126,0.537897434007835,0.505948866741232,0.479912606559297,0.463997480858656,0.448131427920884,0.461243504371128,0.466651830472827,0.426232185449744,0.38912919841156,0.380546432252428,0.366805308265411,0.365717451457142,0.369385818534722,0.372317596125039,0.376653509726228,0.380538453187624,0.385824272203618,0.391031341307466,0.398300095937621,0.404504373273245,0.41393937864827,0.429177608858906,0.435655080387817,0.453133887550988,0.468026405031381,0.479104827312218,0.490225511244771,0.500786337240003,0.512405890337718,0.522785732519925,0.52914000528569,0.52938809356616,0.529430431585517,0.527892707134965,0.524016982187554,0.517127779738969,0.500339693226321,0.483597660006059,0.484886784223208,0.484910639335105,0.485779355560651,0.488259769974197,0.499028595905288,0.517223397708442,0.522309122151812
