nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
15,10,0.1,0.2,0.1,Gaussian,10,1,-0.6394669850320504,770.2847257674277
15,10,0.1,0.2,0.1,Gaussian,10,2,-0.569316535607518,674.9604456444553
15,10,0.1,0.2,0.1,Gaussian,10,3,-0.22726069667856194,1334.2906077607777
15,10,0.1,0.2,0.1,Gaussian,10,4,0.4328337336537092,770.7612640739106
15,10,0.1,0.2,0.1,Gaussian,10,5,0.49607161998979227,1300.7342153561297
15,10,0.1,0.2,0.1,Gaussian,10,6,0.03669617497620353,1402.9733131606902
15,10,0.1,0.2,0.1,Gaussian,10,7,-0.7043892662617111,1177.8196180426726
15,10,0.1,0.2,0.1,Gaussian,10,8,0.037119098166738126,1648.7129821137646
15,10,0.1,0.2,0.1,Gaussian,10,9,0.7701812992474751,1027.5698941893554
15,10,0.1,0.2,0.1,Gaussian,10,10,-0.29518886357592516,1381.3020727904186
15,10,0.1,0.2,0.1,Gaussian,10,11,-0.5689435701530677,879.6601130060285
15,10,0.1,0.2,0.1,Gaussian,10,12,0.4316875537824138,1519.747266850702
15,10,0.1,0.2,0.1,Gaussian,10,13,0.7710082422782675,678.1580016099857
15,10,0.1,0.2,0.1,Gaussian,10,14,-0.704595831049679,1074.1385205169784
15,10,0.1,0.2,0.1,Gaussian,10,15,-0.22740746705249665,1194.918538587132
15,10,0.1,0.2,0.1,Gaussian,10,16,-0.36081672530383035,1329.6517461323042
15,10,0.1,0.2,0.1,Gaussian,10,17,0.7710715604320802,653.0211851211113
15,10,0.1,0.2,0.1,Gaussian,10,18,0.6368797474960626,920.3431430885939
15,10,0.1,0.2,0.1,Gaussian,10,19,0.03717524971519019,1528.2103261699613
15,10,0.1,0.2,0.1,Gaussian,10,20,-0.7727943307309337,1111.9804269984722
15,10,0.1,0.2,0.1,Gaussian,20,1,-0.6474814542216539,624.4133811867101
15,10,0.1,0.2,0.1,Gaussian,20,2,-0.5762834818857652,475.3599806491756
15,10,0.1,0.2,0.1,Gaussian,20,3,-0.22343020185388637,1608.5397095484675
15,10,0.1,0.2,0.1,Gaussian,20,4,0.4418020390915044,605.3563352023449
15,10,0.1,0.2,0.1,Gaussian,20,5,0.49481910814637203,1555.6077044178794
15,10,0.1,0.2,0.1,Gaussian,20,6,0.04207608980649054,1752.9310878118722
15,10,0.1,0.2,0.1,Gaussian,20,7,-0.7080348066574237,1314.73528149695
15,10,0.1,0.2,0.1,Gaussian,20,8,0.0423460498597988,2288.0934607768336
15,10,0.1,0.2,0.1,Gaussian,20,9,0.7741165003103148,1055.8774449766254
15,10,0.1,0.2,0.1,Gaussian,20,10,-0.2935144345914199,1711.7727907412673
15,10,0.1,0.2,0.1,Gaussian,20,11,-0.5742186060564002,792.0054573771627
15,10,0.1,0.2,0.1,Gaussian,20,12,0.4290897710451528,2013.5051489305408
15,10,0.1,0.2,0.1,Gaussian,20,13,0.7794793020673936,503.62124889087056
15,10,0.1,0.2,0.1,Gaussian,20,14,-0.7088474571217606,1127.4905454874065
15,10,0.1,0.2,0.1,Gaussian,20,15,-0.22403023794880095,1328.6538412601035
15,10,0.1,0.2,0.1,Gaussian,20,16,-0.3576483752257461,1615.2253364417584
15,10,0.1,0.2,0.1,Gaussian,20,17,0.7802339061971592,469.0920963537743
15,10,0.1,0.2,0.1,Gaussian,20,18,0.6437045001890415,864.7789627500962
15,10,0.1,0.2,0.1,Gaussian,20,19,0.04245733574465271,2022.6889727246455
15,10,0.1,0.2,0.1,Gaussian,20,20,-0.7777216382735211,1187.9262185340897
15,10,0.1,0.2,0.1,Gaussian,30,1,-0.6592740785032389,518.472306981094
15,10,0.1,0.2,0.1,Gaussian,30,2,-0.5839639746408756,343.7393435540155
15,10,0.1,0.2,0.1,Gaussian,30,3,-0.22199544540776306,1794.2034317246364
15,10,0.1,0.2,0.1,Gaussian,30,4,0.45521285376818754,479.5161894412671
15,10,0.1,0.2,0.1,Gaussian,30,5,0.49571933583155603,1728.652371259569
15,10,0.1,0.2,0.1,Gaussian,30,6,0.047196886235851464,1982.4487392319684
15,10,0.1,0.2,0.1,Gaussian,30,7,-0.7110773074361287,1405.2343389479095
15,10,0.1,0.2,0.1,Gaussian,30,8,0.04719535896576086,2728.9076188035015
15,10,0.1,0.2,0.1,Gaussian,30,9,0.7780589358208465,1077.8067713345588
15,10,0.1,0.2,0.1,Gaussian,30,10,-0.294310352757735,1936.0942282847766
15,10,0.1,0.2,0.1,Gaussian,30,11,-0.5820451926298814,719.6625181296531
15,10,0.1,0.2,0.1,Gaussian,30,12,0.4282214356444942,2353.339856478027
15,10,0.1,0.2,0.1,Gaussian,30,13,0.7903440076668222,393.5930367571466
15,10,0.1,0.2,0.1,Gaussian,30,14,-0.7127697194570077,1160.0972264368402
15,10,0.1,0.2,0.1,Gaussian,30,15,-0.22350962567207303,1397.1286531929643
15,10,0.1,0.2,0.1,Gaussian,30,16,-0.3596679141836542,1817.6077477067308
15,10,0.1,0.2,0.1,Gaussian,30,17,0.7910884634022222,356.1008118992366
15,10,0.1,0.2,0.1,Gaussian,30,18,0.651540074486076,820.7041903692018
15,10,0.1,0.2,0.1,Gaussian,30,19,0.0474238055047309,2360.9271054634796
15,10,0.1,0.2,0.1,Gaussian,30,20,-0.7817463339254356,1233.5639972906004
15,10,0.1,0.2,0.1,Gaussian,40,1,-0.672175976863982,440.60829102615156
15,10,0.1,0.2,0.1,Gaussian,40,2,-0.5981557002616628,251.25614226520082
15,10,0.1,0.2,0.1,Gaussian,40,3,-0.22175769991318578,1914.3489389535487
15,10,0.1,0.2,0.1,Gaussian,40,4,0.47554569688274145,381.42227860897964
15,10,0.1,0.2,0.1,Gaussian,40,5,0.4994132624067029,1838.8901260407308
15,10,0.1,0.2,0.1,Gaussian,40,6,0.051896060867586934,2110.6690865769624
15,10,0.1,0.2,0.1,Gaussian,40,7,-0.7135077229327399,1460.8299164851815
15,10,0.1,0.2,0.1,Gaussian,40,8,0.0515171549578033,2965.0629964483182
15,10,0.1,0.2,0.1,Gaussian,40,9,0.7817537904219501,1093.837864970792
15,10,0.1,0.2,0.1,Gaussian,40,10,-0.2934678340357651,2077.9459701004444
15,10,0.1,0.2,0.1,Gaussian,40,11,-0.5938956901732148,658.522425962969
15,10,0.1,0.2,0.1,Gaussian,40,12,0.42834560335331384,2542.213403814597
15,10,0.1,0.2,0.1,Gaussian,40,13,0.8032657052767205,317.6972800094726
15,10,0.1,0.2,0.1,Gaussian,40,14,-0.7162372148548558,1179.312531836787
15,10,0.1,0.2,0.1,Gaussian,40,15,-0.2246615209508516,1425.735956183179
15,10,0.1,0.2,0.1,Gaussian,40,16,-0.36290571048717685,1942.4919709032802
15,10,0.1,0.2,0.1,Gaussian,40,17,0.8061989886756942,278.0158902285135
15,10,0.1,0.2,0.1,Gaussian,40,18,0.6595592553638274,786.6152058797011
15,10,0.1,0.2,0.1,Gaussian,40,19,0.05191507794994027,2549.7304645989925
15,10,0.1,0.2,0.1,Gaussian,40,20,-0.7850337506477859,1258.7115582504807
15,10,0.1,0.2,0.1,Gaussian,50,1,-0.6867729754514046,380.86060943884587
15,10,0.1,0.2,0.1,Gaussian,50,2,-0.6172543431159037,184.3893475634479
15,10,0.1,0.2,0.1,Gaussian,50,3,-0.2223423208851227,1983.9867660172267
15,10,0.1,0.2,0.1,Gaussian,50,4,0.49828611436777687,307.10113912162
15,10,0.1,0.2,0.1,Gaussian,50,5,0.5044237259011762,1906.6121503867162
15,10,0.1,0.2,0.1,Gaussian,50,6,0.056213899463890264,2177.5248564694557
15,10,0.1,0.2,0.1,Gaussian,50,7,-0.7153682382127341,1494.2100023656994
15,10,0.1,0.2,0.1,Gaussian,50,8,0.05538651435855428,3074.4355321944845
15,10,0.1,0.2,0.1,Gaussian,50,9,0.7850533062460093,1105.2856457799953
15,10,0.1,0.2,0.1,Gaussian,50,10,-0.29272075139046544,2162.0668164785
15,10,0.1,0.2,0.1,Gaussian,50,11,-0.6041289338379278,612.885723595706
15,10,0.1,0.2,0.1,Gaussian,50,12,0.42895557132907375,2635.794611674039
15,10,0.1,0.2,0.1,Gaussian,50,13,0.816859409421397,263.3759385977494
15,10,0.1,0.2,0.1,Gaussian,50,14,-0.7192069707109621,1191.003165314043
15,10,0.1,0.2,0.1,Gaussian,50,15,-0.22661669540323842,1435.6469435783563
15,10,0.1,0.2,0.1,Gaussian,50,16,-0.36660169649134433,2016.813017408451
15,10,0.1,0.2,0.1,Gaussian,50,17,0.8191932799847608,224.75057728359604
15,10,0.1,0.2,0.1,Gaussian,50,18,0.6679589422990441,760.2540121342346
15,10,0.1,0.2,0.1,Gaussian,50,19,0.05598611864141704,2644.4364677272333
15,10,0.1,0.2,0.1,Gaussian,50,20,-0.787706072748484,1271.8405710822892
15,10,0.1,0.2,0.1,Gaussian,60,1,-0.7022365884022945,334.6158228546189
15,10,0.1,0.2,0.1,Gaussian,60,2,-0.6385917264543995,135.3519190112649
15,10,0.1,0.2,0.1,Gaussian,60,3,-0.2233373061564591,2025.622723511671
15,10,0.1,0.2,0.1,Gaussian,60,4,0.52385143716289,249.70434333045853
15,10,0.1,0.2,0.1,Gaussian,60,5,0.50917647261845,1946.3927900546762
15,10,0.1,0.2,0.1,Gaussian,60,6,0.06018149169451151,2212.9394504142015
15,10,0.1,0.2,0.1,Gaussian,60,7,-0.7167329783860451,1514.3451956160013
15,10,0.1,0.2,0.1,Gaussian,60,8,0.059343855144990625,3124.7068474359817
15,10,0.1,0.2,0.1,Gaussian,60,9,0.7879267319137327,1113.3163201117763
15,10,0.1,0.2,0.1,Gaussian,60,10,-0.29241090736576686,2211.86843725544
15,10,0.1,0.2,0.1,Gaussian,60,11,-0.6153953210285142,576.0924201910743
15,10,0.1,0.2,0.1,Gaussian,60,12,0.4297651953686214,2680.8239957717688
15,10,0.1,0.2,0.1,Gaussian,60,13,0.8324773919193527,221.65315847095377
15,10,0.1,0.2,0.1,Gaussian,60,14,-0.7216993924053112,1198.5108838733204
15,10,0.1,0.2,0.1,Gaussian,60,15,-0.22886053007177332,1438.8169047861088
