nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
3,1,0.1,0.2,0.1,Gaussian,10,1,0.0035146851956266226,721.5537878895569
3,1,0.1,0.2,0.1,Gaussian,10,2,0.35075597056012897,953.086539019662
3,1,0.1,0.2,0.1,Gaussian,10,3,-0.3471201064746846,891.8466332715981
3,1,0.1,0.2,0.1,Gaussian,10,4,0.35052209284886654,999.115044624448
3,1,0.1,0.2,0.1,Gaussian,10,5,0.0035141462650026614,891.0482749415027
3,1,0.1,0.2,0.1,Gaussian,10,6,0.34896195568585864,1321.2129900340874
3,1,0.1,0.2,0.1,Gaussian,10,7,0.0035141747990957636,882.6682223567725
3,1,0.1,0.2,0.1,Gaussian,10,8,0.668161738384166,1337.3419648473803
3,1,0.1,0.2,0.1,Gaussian,10,9,-0.3481002121906729,710.9522637646515
3,1,0.1,0.2,0.1,Gaussian,10,10,-0.6697930484129779,1267.979066504178
3,1,0.1,0.2,0.1,Gaussian,10,11,-0.1725686591967883,1077.3458226702764
3,1,0.1,0.2,0.1,Gaussian,10,12,0.35009695636460436,1084.3794178646253
3,1,0.1,0.2,0.1,Gaussian,10,13,0.6699582345262772,1187.6719585612618
3,1,0.1,0.2,0.1,Gaussian,10,14,-0.6719517018790313,1091.9479588810518
3,1,0.1,0.2,0.1,Gaussian,10,15,0.0035148087379974838,677.9152076712332
3,1,0.1,0.2,0.1,Gaussian,10,16,-0.17276938557207047,991.4737188255685
3,1,0.1,0.2,0.1,Gaussian,10,17,-0.17221485288998023,1233.6722256580567
3,1,0.1,0.2,0.1,Gaussian,10,18,-0.345201927441965,1279.204258255193
3,1,0.1,0.2,0.1,Gaussian,10,19,-0.1717866566158776,1430.524545557883
3,1,0.1,0.2,0.1,Gaussian,10,20,0.0035134020716652906,1095.5953697353386
3,1,0.1,0.2,0.1,Gaussian,20,1,0.006174118284108118,539.1905593858429
3,1,0.1,0.2,0.1,Gaussian,20,2,0.36478536305799714,910.4819322082699
3,1,0.1,0.2,0.1,Gaussian,20,3,-0.3596708826184567,808.6396549219048
3,1,0.1,0.2,0.1,Gaussian,20,4,0.36382925662242427,992.041390634428
3,1,0.1,0.2,0.1,Gaussian,20,5,0.006152691924394257,802.4448335712315
3,1,0.1,0.2,0.1,Gaussian,20,6,0.35693342508474357,1623.0344419704822
3,1,0.1,0.2,0.1,Gaussian,20,7,0.006153800501644317,788.4529758647681
3,1,0.1,0.2,0.1,Gaussian,20,8,0.6566148815650157,1609.0455504238384
3,1,0.1,0.2,0.1,Gaussian,20,9,-0.3632959062019799,528.8540640773853
3,1,0.1,0.2,0.1,Gaussian,20,10,-0.6616799174950603,1482.4449087623327
3,1,0.1,0.2,0.1,Gaussian,20,11,-0.17774171964257116,1137.9308580849365
3,1,0.1,0.2,0.1,Gaussian,20,12,0.3620370603689721,1149.4348603517994
3,1,0.1,0.2,0.1,Gaussian,20,13,0.6639024577461818,1323.170881140725
3,1,0.1,0.2,0.1,Gaussian,20,14,-0.6702919802981383,1153.719797486239
3,1,0.1,0.2,0.1,Gaussian,20,15,0.006179272061601994,478.5738642657823
3,1,0.1,0.2,0.1,Gaussian,20,16,-0.17858531264995942,978.7016920995458
3,1,0.1,0.2,0.1,Gaussian,20,17,-0.17617511417129972,1447.8523963220568
3,1,0.1,0.2,0.1,Gaussian,20,18,-0.3514825364315559,1540.896691954591
3,1,0.1,0.2,0.1,Gaussian,20,19,-0.17415377907247345,1868.192072056085
3,1,0.1,0.2,0.1,Gaussian,20,20,0.006124223336929434,1171.6886380791232
3,1,0.1,0.2,0.1,Gaussian,30,1,0.008589368787392075,408.58862717231386
3,1,0.1,0.2,0.1,Gaussian,30,2,0.37876874774512326,863.91980913172
3,1,0.1,0.2,0.1,Gaussian,30,3,-0.3734668247615583,734.445476262709
3,1,0.1,0.2,0.1,Gaussian,30,4,0.37668128606773166,971.9031523274525
3,1,0.1,0.2,0.1,Gaussian,30,5,0.008516046492709012,723.0135966189391
3,1,0.1,0.2,0.1,Gaussian,30,6,0.3609344463386707,1852.800909344345
3,1,0.1,0.2,0.1,Gaussian,30,7,0.008519994854879857,705.2650173910521
3,1,0.1,0.2,0.1,Gaussian,30,8,0.6409655783268865,1791.2982852780701
3,1,0.1,0.2,0.1,Gaussian,30,9,-0.38083739754338447,400.5977848168568
3,1,0.1,0.2,0.1,Gaussian,30,10,-0.6503119872733845,1626.1404462926453
3,1,0.1,0.2,0.1,Gaussian,30,11,-0.1830408158157479,1172.9747902281986
3,1,0.1,0.2,0.1,Gaussian,30,12,0.37269006471443805,1185.7377343964656
3,1,0.1,0.2,0.1,Gaussian,30,13,0.6558041330381172,1406.5524282789354
3,1,0.1,0.2,0.1,Gaussian,30,14,-0.6678899182495284,1185.3428100716367
3,1,0.1,0.2,0.1,Gaussian,30,15,0.008605912860265602,343.28201809138477
3,1,0.1,0.2,0.1,Gaussian,30,16,-0.1849381947094361,955.0182235650265
