nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
8,2,0.1,0.2,0.1,Gaussian,10,1,0.06886305508418827,1160.2995824419174
8,2,0.1,0.2,0.1,Gaussian,10,2,-0.38579403436049364,807.620812083679
8,2,0.1,0.2,0.1,Gaussian,10,3,-0.257701196337902,1232.1653120673109
8,2,0.1,0.2,0.1,Gaussian,10,4,0.2671295055472676,1577.909937322615
8,2,0.1,0.2,0.1,Gaussian,10,5,-0.38515162609506537,1161.6251427110449
8,2,0.1,0.2,0.1,Gaussian,10,6,-0.7569774748270023,854.9894617472555
8,2,0.1,0.2,0.1,Gaussian,10,7,0.1332578900705634,944.9303319689205
8,2,0.1,0.2,0.1,Gaussian,10,8,0.005128221821047151,712.3370614483418
8,2,0.1,0.2,0.1,Gaussian,10,9,-0.12370407675497844,1399.3521456410176
8,2,0.1,0.2,0.1,Gaussian,10,10,0.005129099904638543,746.8405418757088
8,2,0.1,0.2,0.1,Gaussian,10,11,0.2678301362371875,952.9089127156005
8,2,0.1,0.2,0.1,Gaussian,10,12,0.3950017456666146,716.8343651293635
8,2,0.1,0.2,0.1,Gaussian,10,13,-0.2582660451568909,776.7622289226814
8,2,0.1,0.2,0.1,Gaussian,10,14,0.5147930635626342,1383.7883393897878
8,2,0.1,0.2,0.1,Gaussian,10,15,-0.2581590452464256,858.0257268699888
8,2,0.1,0.2,0.1,Gaussian,10,16,-0.635314314811319,776.0630384409769
8,2,0.1,0.2,0.1,Gaussian,10,17,-0.7568242131440024,897.7365773159869
8,2,0.1,0.2,0.1,Gaussian,10,18,0.267830768790542,952.3861711248072
8,2,0.1,0.2,0.1,Gaussian,10,19,-0.12328258251316292,1063.5507522646926
8,2,0.1,0.2,0.1,Gaussian,10,20,-0.635531567228969,703.1236962805666
8,2,0.1,0.2,0.1,Gaussian,20,1,0.07069357291124714,1320.5343258114303
8,2,0.1,0.2,0.1,Gaussian,20,2,-0.3984757543112556,680.9866544977882
8,2,0.1,0.2,0.1,Gaussian,20,3,-0.26782081986907597,1478.835120067646
8,2,0.1,0.2,0.1,Gaussian,20,4,0.2757800434480994,2264.9407609547156
8,2,0.1,0.2,0.1,Gaussian,20,5,-0.3959294888387006,1332.4653196226882
8,2,0.1,0.2,0.1,Gaussian,20,6,-0.7646315777171921,765.6083732028802
8,2,0.1,0.2,0.1,Gaussian,20,7,0.13867863614592493,899.3572222339875
8,2,0.1,0.2,0.1,Gaussian,20,8,0.012539378631147706,526.0565645450854
8,2,0.1,0.2,0.1,Gaussian,20,9,-0.12828053701962738,1861.6413410954829
8,2,0.1,0.2,0.1,Gaussian,20,10,0.00813439790707003,579.0282979368992
8,2,0.1,0.2,0.1,Gaussian,20,11,0.28503558181683325,914.7688046636158
8,2,0.1,0.2,0.1,Gaussian,20,12,0.419362364110276,531.3051135748914
8,2,0.1,0.2,0.1,Gaussian,20,13,-0.27009118424376344,628.579893292696
8,2,0.1,0.2,0.1,Gaussian,20,14,0.5269097587286923,1768.291525494003
8,2,0.1,0.2,0.1,Gaussian,20,15,-0.2697051620475721,759.1711188314191
8,2,0.1,0.2,0.1,Gaussian,20,16,-0.6467632648796192,638.4128915168537
8,2,0.1,0.2,0.1,Gaussian,20,17,-0.7640866253687427,836.1250142255915
8,2,0.1,0.2,0.1,Gaussian,20,18,0.2850381718399484,913.8336168858737
8,2,0.1,0.2,0.1,Gaussian,20,19,-0.12325057647695774,1127.0784289035496
8,2,0.1,0.2,0.1,Gaussian,20,20,-0.6500343461820436,528.459791748826
8,2,0.1,0.2,0.1,Gaussian,30,1,0.07062664397332134,1454.3456181585773
8,2,0.1,0.2,0.1,Gaussian,30,2,-0.4161186061175545,582.89527174076
8,2,0.1,0.2,0.1,Gaussian,30,3,-0.27826107797848076,1703.2915116138736
8,2,0.1,0.2,0.1,Gaussian,30,4,0.28101952790497586,2881.762739303389
8,2,0.1,0.2,0.1,Gaussian,30,5,-0.4066226293539312,1485.169724497843
8,2,0.1,0.2,0.1,Gaussian,30,6,-0.7718193408356296,703.1819639238829
8,2,0.1,0.2,0.1,Gaussian,30,7,0.14222399807899067,851.922132801399
8,2,0.1,0.2,0.1,Gaussian,30,8,0.016493322034020312,385.50563767420726
