nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
6,4,0.1,0.2,0.1,Gaussian,10,1,0.7504496280876349,1544.527697577789
6,4,0.1,0.2,0.1,Gaussian,10,2,-0.58147330518328,1214.6252809336734
6,4,0.1,0.2,0.1,Gaussian,10,3,0.24684340455283124,1169.167541717113
6,4,0.1,0.2,0.1,Gaussian,10,4,-0.5821895913407701,1004.0331100306714
6,4,0.1,0.2,0.1,Gaussian,10,5,0.004078177270686425,796.5730738675018
6,4,0.1,0.2,0.1,Gaussian,10,6,-0.4939524406040207,1095.6444165955606
6,4,0.1,0.2,0.1,Gaussian,10,7,-0.2391277207297016,1094.0130751068336
6,4,0.1,0.2,0.1,Gaussian,10,8,0.4151203551643273,1032.1158990793363
6,4,0.1,0.2,0.1,Gaussian,10,9,0.4130085891886174,1183.448872283193
6,4,0.1,0.2,0.1,Gaussian,10,10,-0.7531008722141016,1163.2309136246524
6,4,0.1,0.2,0.1,Gaussian,10,11,-0.6647009855717375,1547.86202069302
6,4,0.1,0.2,0.1,Gaussian,10,12,0.41265013253206856,1332.4061388493767
6,4,0.1,0.2,0.1,Gaussian,10,13,0.58598602831641,947.7310520963384
6,4,0.1,0.2,0.1,Gaussian,10,14,-0.3248100666214741,1291.3116104799192
6,4,0.1,0.2,0.1,Gaussian,10,15,0.6690549952996236,1409.0770723504613
6,4,0.1,0.2,0.1,Gaussian,10,16,0.0898887386557413,1114.7026513883286
6,4,0.1,0.2,0.1,Gaussian,10,17,-0.49364003063247497,1201.6636504503615
6,4,0.1,0.2,0.1,Gaussian,10,18,-0.6687214912314339,1067.6307030541475
6,4,0.1,0.2,0.1,Gaussian,10,19,-0.5818990512883511,1088.1278739160095
6,4,0.1,0.2,0.1,Gaussian,10,20,0.5861664155894692,896.6326971863868
6,4,0.1,0.2,0.1,Gaussian,20,1,0.7394168482762571,2052.081970267589
6,4,0.1,0.2,0.1,Gaussian,20,2,-0.5780000654081022,1391.5934757388525
6,4,0.1,0.2,0.1,Gaussian,20,3,0.24235673150008172,1312.2391694482917
6,4,0.1,0.2,0.1,Gaussian,20,4,-0.5809490825009285,988.4873884181109
6,4,0.1,0.2,0.1,Gaussian,20,5,0.010227359648104405,637.7604318850432
6,4,0.1,0.2,0.1,Gaussian,20,6,-0.4862447071022622,1160.0021944943428
6,4,0.1,0.2,0.1,Gaussian,20,7,-0.2265050120593595,1161.29094253571
6,4,0.1,0.2,0.1,Gaussian,20,8,0.4097219634680942,1045.8205444487874
6,4,0.1,0.2,0.1,Gaussian,20,9,0.4064730148905878,1340.2220827861856
6,4,0.1,0.2,0.1,Gaussian,20,10,-0.7546076448755814,1274.690441417543
6,4,0.1,0.2,0.1,Gaussian,20,11,-0.6530956368309176,2088.659602398616
6,4,0.1,0.2,0.1,Gaussian,20,12,0.40486734282692444,1656.0261155881303
6,4,0.1,0.2,0.1,Gaussian,20,13,0.5884619426345306,889.64504132046
6,4,0.1,0.2,0.1,Gaussian,20,14,-0.31238499193909236,1567.5499791868929
6,4,0.1,0.2,0.1,Gaussian,20,15,0.6611632902006785,1789.8007121200276
