nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
15,9,0.1,0.2,0.1,Gaussian,10,1,0.572041449512173,1427.7402277855429
15,9,0.1,0.2,0.1,Gaussian,10,2,-0.030045444794904397,1156.137146009361
15,9,0.1,0.2,0.1,Gaussian,10,3,-0.23401903671621915,895.4631944814274
15,9,0.1,0.2,0.1,Gaussian,10,4,0.170351803932123,818.2824314438166
15,9,0.1,0.2,0.1,Gaussian,10,5,0.7720249449926352,1428.9143611452885
15,9,0.1,0.2,0.1,Gaussian,10,6,-0.4409786222351223,793.5083437456369
15,9,0.1,0.2,0.1,Gaussian,10,7,0.03367080978326158,1362.363767670105
15,9,0.1,0.2,0.1,Gaussian,10,8,-0.09801779373652227,1515.2642430992512
15,9,0.1,0.2,0.1,Gaussian,10,9,-0.3028047664537512,1186.681898958366
15,9,0.1,0.2,0.1,Gaussian,10,10,0.6415272964300861,1080.5911899746457
15,9,0.1,0.2,0.1,Gaussian,10,11,-0.577491089098582,1319.3007577569776
15,9,0.1,0.2,0.1,Gaussian,10,12,0.5728773046647767,688.3511061711441
15,9,0.1,0.2,0.1,Gaussian,10,13,0.4377263010019961,697.0462806132745
15,9,0.1,0.2,0.1,Gaussian,10,14,-0.02941967329744134,1337.2901660678247
15,9,0.1,0.2,0.1,Gaussian,10,15,0.43640409311524186,1496.1368930783228
15,9,0.1,0.2,0.1,Gaussian,10,16,0.2344318282262725,991.2619802589586
15,9,0.1,0.2,0.1,Gaussian,10,17,-0.6458099571064482,1171.1161893155554
15,9,0.1,0.2,0.1,Gaussian,10,18,-0.4405613456343662,1071.3335811943614
15,9,0.1,0.2,0.1,Gaussian,10,19,-0.44058630504574436,1379.7330051947924
15,9,0.1,0.2,0.1,Gaussian,10,20,0.1068376914826583,826.1722082641188
15,9,0.1,0.2,0.1,Gaussian,20,1,0.5734413642035063,1800.5310908622632
15,9,0.1,0.2,0.1,Gaussian,20,2,-0.023638787019437564,1277.1420065662983
15,9,0.1,0.2,0.1,Gaussian,20,3,-0.23636297322520972,798.3663569555979
15,9,0.1,0.2,0.1,Gaussian,20,4,0.17490826426561173,677.6141320754065
15,9,0.1,0.2,0.1,Gaussian,20,5,0.7752119129781974,1732.7096074271576
15,9,0.1,0.2,0.1,Gaussian,20,6,-0.45529996642347226,638.8189604433466
15,9,0.1,0.2,0.1,Gaussian,20,7,0.03754946295401648,1710.9925728020023
15,9,0.1,0.2,0.1,Gaussian,20,8,-0.09439427214753374,2030.2160808199262
15,9,0.1,0.2,0.1,Gaussian,20,9,-0.3045416142613244,1332.405959801759
15,9,0.1,0.2,0.1,Gaussian,20,10,0.6489706489920606,1123.1011557637705
15,9,0.1,0.2,0.1,Gaussian,20,11,-0.5872870180930928,1576.5957415154583
15,9,0.1,0.2,0.1,Gaussian,20,12,0.5846056700917394,493.0067957824817
15,9,0.1,0.2,0.1,Gaussian,20,13,0.44965101017250947,502.6534902832342
