nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
7,7,0.1,0.2,0.1,Gaussian,10,1,-0.7238528718391132,799.6229111504375
7,7,0.1,0.2,0.1,Gaussian,10,2,-0.5824373004838587,1049.9771299397569
7,7,0.1,0.2,0.1,Gaussian,10,3,0.7149607593805546,1425.6469038940552
7,7,0.1,0.2,0.1,Gaussian,10,4,0.2883263765228673,1470.907589466657
7,7,0.1,0.2,0.1,Gaussian,10,5,-0.07138071730679958,1106.372544458469
7,7,0.1,0.2,0.1,Gaussian,10,6,-0.14480591581946947,960.261292260946
7,7,0.1,0.2,0.1,Gaussian,10,7,0.7176692787297079,1014.8627242507058
7,7,0.1,0.2,0.1,Gaussian,10,8,-0.443428469642733,739.1572026321925
7,7,0.1,0.2,0.1,Gaussian,10,9,0.0017033979426763933,865.6939082967434
7,7,0.1,0.2,0.1,Gaussian,10,10,0.14678138439564467,995.6371413111992
7,7,0.1,0.2,0.1,Gaussian,10,11,0.5758535701335581,754.040296777836
7,7,0.1,0.2,0.1,Gaussian,10,12,-0.14481988210565125,943.3185087030444
7,7,0.1,0.2,0.1,Gaussian,10,13,-0.434727700893215,1556.1761363760043
7,7,0.1,0.2,0.1,Gaussian,10,14,-0.44320850068781203,837.4333460214318
7,7,0.1,0.2,0.1,Gaussian,10,15,-0.44344506820155327,731.8982018206227
7,7,0.1,0.2,0.1,Gaussian,10,16,0.7177958253334394,980.6456051421274
7,7,0.1,0.2,0.1,Gaussian,10,17,0.0017004755445198657,1388.1287463488572
7,7,0.1,0.2,0.1,Gaussian,10,18,0.2903900371903383,790.8946361877938
7,7,0.1,0.2,0.1,Gaussian,10,19,0.06773862252458718,840.3967886731994
7,7,0.1,0.2,0.1,Gaussian,10,20,0.7181626228024218,883.2955780822117
7,7,0.1,0.2,0.1,Gaussian,20,1,-0.7345196028322881,667.2971067105669
7,7,0.1,0.2,0.1,Gaussian,20,2,-0.592714818853765,1099.2276491821617
7,7,0.1,0.2,0.1,Gaussian,20,3,0.7082415891176992,1841.8319667357055
7,7,0.1,0.2,0.1,Gaussian,20,4,0.28811778593805043,2002.6205129001928
7,7,0.1,0.2,0.1,Gaussian,20,5,-0.07412575589618449,1210.1840084878838
7,7,0.1,0.2,0.1,Gaussian,20,6,-0.14670415600025982,931.1847387822698
7,7,0.1,0.2,0.1,Gaussian,20,7,0.7216356336213501,1022.3252507844609
7,7,0.1,0.2,0.1,Gaussian,20,8,-0.4603835677707425,570.3459842251027
7,7,0.1,0.2,0.1,Gaussian,20,9,0.002250103003648149,762.5794497400017
7,7,0.1,0.2,0.1,Gaussian,20,10,0.14862021835662872,993.1690450215477
7,7,0.1,0.2,0.1,Gaussian,20,11,0.5815991029998614,590.5808307392809
7,7,0.1,0.2,0.1,Gaussian,20,12,-0.14675962217182015,900.5944018017716
7,7,0.1,0.2,0.1,Gaussian,20,13,-0.43730413274797275,2203.4679494013294
7,7,0.1,0.2,0.1,Gaussian,20,14,-0.45961387942007326,722.6606247904895
7,7,0.1,0.2,0.1,Gaussian,20,15,-0.4604394832468877,559.7020835028475
7,7,0.1,0.2,0.1,Gaussian,20,16,0.722114702995447,961.5720169287407
7,7,0.1,0.2,0.1,Gaussian,20,17,0.0028854773957193683,1828.5465530686638
7,7,0.1,0.2,0.1,Gaussian,20,18,0.300064380137994,639.0063033427308
7,7,0.1,0.2,0.1,Gaussian,20,19,0.06231666894925523,719.531428946087
7,7,0.1,0.2,0.1,Gaussian,20,20,0.7234581881675409,795.8310603896621
7,7,0.1,0.2,0.1,Gaussian,30,1,-0.745011969585894,570.844938706682
7,7,0.1,0.2,0.1,Gaussian,30,2,-0.6022776766855453,1134.812200005726
7,7,0.1,0.2,0.1,Gaussian,30,3,0.6991056431568654,2164.9915406353202
7,7,0.1,0.2,0.1,Gaussian,30,4,0.28604651708938356,2490.52965585354
7,7,0.1,0.2,0.1,Gaussian,30,5,-0.07727355669973866,1293.4348732444982
7,7,0.1,0.2,0.1,Gaussian,30,6,-0.1492518334869457,898.5637916659826
7,7,0.1,0.2,0.1,Gaussian,30,7,0.7253843813744422,1019.3688932104517
7,7,0.1,0.2,0.1,Gaussian,30,8,-0.47680373324890646,449.28268232327997
7,7,0.1,0.2,0.1,Gaussian,30,9,0.002312903881583555,674.1041164035787
7,7,0.1,0.2,0.1,Gaussian,30,10,0.15017505373386056,981.2170131541722
7,7,0.1,0.2,0.1,Gaussian,30,11,0.5937855918340987,467.6196247181133
7,7,0.1,0.2,0.1,Gaussian,30,12,-0.14937122988326537,857.1122807875429
7,7,0.1,0.2,0.1,Gaussian,30,13,-0.43709460713049836,2783.5220395729066
7,7,0.1,0.2,0.1,Gaussian,30,14,-0.4753042699281826,631.8124204462135
7,7,0.1,0.2,0.1,Gaussian,30,15,-0.4769090877860219,437.155232868042
7,7,0.1,0.2,0.1,Gaussian,30,16,0.7263608818374399,938.6152067544182
7,7,0.1,0.2,0.1,Gaussian,30,17,0.0030134379391330637,2255.6375515130917
7,7,0.1,0.2,0.1,Gaussian,30,18,0.31458411783108553,519.054031157495
7,7,0.1,0.2,0.1,Gaussian,30,19,0.05714306580173653,619.5628748836934
7,7,0.1,0.2,0.1,Gaussian,30,20,0.7290407520942832,724.1508606133522
7,7,0.1,0.2,0.1,Gaussian,40,1,-0.7633860630933883,492.302403961158
7,7,0.1,0.2,0.1,Gaussian,40,2,-0.6112706292507604,1158.8819431745535
7,7,0.1,0.2,0.1,Gaussian,40,3,0.6888974835205287,2384.7495604249607
7,7,0.1,0.2,0.1,Gaussian,40,4,0.2827234438477172,2868.155069963439
7,7,0.1,0.2,0.1,Gaussian,40,5,-0.08071925157805966,1356.3513847661818
7,7,0.1,0.2,0.1,Gaussian,40,6,-0.15236431379304347,864.1642014798269
7,7,0.1,0.2,0.1,Gaussian,40,7,0.7291097092621178,1011.1186994580544
7,7,0.1,0.2,0.1,Gaussian,40,8,-0.507107017020991,354.01615064722733
7,7,0.1,0.2,0.1,Gaussian,40,9,0.0020676677549404617,597.6125754352797
7,7,0.1,0.2,0.1,Gaussian,40,10,0.15166307266602855,962.6974658077235
7,7,0.1,0.2,0.1,Gaussian,40,11,0.6115546242691439,373.36094155584163
7,7,0.1,0.2,0.1,Gaussian,40,12,-0.1560453555359394,811.3208769405592
7,7,0.1,0.2,0.1,Gaussian,40,13,-0.4347584679493139,3202.5338906213456
7,7,0.1,0.2,0.1,Gaussian,40,14,-0.49048932009737617,558.2971393925533
7,7,0.1,0.2,0.1,Gaussian,40,15,-0.5072404206920071,341.6177744268579
7,7,0.1,0.2,0.1,Gaussian,40,16,0.7306721943738546,915.3954624305294
7,7,0.1,0.2,0.1,Gaussian,40,17,0.0027907570473031593,2606.537075286183
7,7,0.1,0.2,0.1,Gaussian,40,18,0.3277964867786609,425.5584086131984
7,7,0.1,0.2,0.1,Gaussian,40,19,0.0522929934496396,535.8160850421681
7,7,0.1,0.2,0.1,Gaussian,40,20,0.7349048569845797,665.3933763024003
7,7,0.1,0.2,0.1,Gaussian,50,1,-0.7786742334593992,433.55038306692666
