nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
3,2,0.1,0.2,0.1,Gaussian,10,1,0.6538064215912232,1172.6421292298755
3,2,0.1,0.2,0.1,Gaussian,10,2,0.31566011758083873,1125.3037439815541
3,2,0.1,0.2,0.1,Gaussian,10,3,-0.34280999599452516,1477.2118885974244
3,2,0.1,0.2,0.1,Gaussian,10,4,-0.5179047671975091,727.8150784904452
3,2,0.1,0.2,0.1,Gaussian,10,5,0.6558164319913362,1013.1014633472663
3,2,0.1,0.2,0.1,Gaussian,10,6,0.14685783045904327,790.3774067227099
3,2,0.1,0.2,0.1,Gaussian,10,7,0.31664468563943804,925.6067896260031
3,2,0.1,0.2,0.1,Gaussian,10,8,-0.3443407486632973,1141.1179985415686
3,2,0.1,0.2,0.1,Gaussian,10,9,0.6524310602707857,1285.1666520148865
3,2,0.1,0.2,0.1,Gaussian,10,10,-0.020527518866825092,975.7029594821762
3,2,0.1,0.2,0.1,Gaussian,10,11,-0.6656633625522786,735.8672071135147
3,2,0.1,0.2,0.1,Gaussian,10,12,0.3167166840076481,911.4752324393191
3,2,0.1,0.2,0.1,Gaussian,10,13,0.31580020545777665,1096.189681542613
3,2,0.1,0.2,0.1,Gaussian,10,14,-0.6591079522127326,1149.8701500275722
3,2,0.1,0.2,0.1,Gaussian,10,15,-0.6564627805168594,1373.539850217871
3,2,0.1,0.2,0.1,Gaussian,10,16,-0.020527923360253688,870.0414492391149
3,2,0.1,0.2,0.1,Gaussian,10,17,0.3164535332374366,963.4497803432154
3,2,0.1,0.2,0.1,Gaussian,10,18,0.3176225983658403,739.7279176789021
3,2,0.1,0.2,0.1,Gaussian,10,19,0.6552450607210999,1057.820956089309
3,2,0.1,0.2,0.1,Gaussian,10,20,0.6630126158483401,591.4527699307863
3,2,0.1,0.2,0.1,Gaussian,20,1,0.6330463289160951,1339.774280271063
3,2,0.1,0.2,0.1,Gaussian,20,2,0.2983105158436477,1249.7184374651483
