nloci,reps,omega,t,a1,kernel,time,sp,trmean,pop
10,10,0.1,0.2,0.1,Gaussian,10,1,0.2616248939163224,836.0002388560735
10,10,0.1,0.2,0.1,Gaussian,10,2,0.16802132121715166,842.1189501537713
10,10,0.1,0.2,0.1,Gaussian,10,3,-0.44725979617575917,1253.1286399666064
10,10,0.1,0.2,0.1,Gaussian,10,4,-0.7576720158677704,1334.6478361082825
10,10,0.1,0.2,0.1,Gaussian,10,5,-0.23864261946438645,1140.7434149070114
10,10,0.1,0.2,0.1,Gaussian,10,6,-0.7590686078886528,852.9571354937522
10,10,0.1,0.2,0.1,Gaussian,10,7,0.461867539034406,1478.2718353072917
10,10,0.1,0.2,0.1,Gaussian,10,8,-0.6566554673287907,1066.6405435686631
10,10,0.1,0.2,0.1,Gaussian,10,9,-0.551305009989578,979.4997486765386
10,10,0.1,0.2,0.1,Gaussian,10,10,-0.5513899329235834,942.2323171574992
10,10,0.1,0.2,0.1,Gaussian,10,11,-0.5519435867538817,709.821038004112
10,10,0.1,0.2,0.1,Gaussian,10,12,-0.239670814767599,950.2898826610162
10,10,0.1,0.2,0.1,Gaussian,10,13,0.16804759203360914,800.1939074907006
10,10,0.1,0.2,0.1,Gaussian,10,14,0.16180422164210842,1050.1471177374774
10,10,0.1,0.2,0.1,Gaussian,10,15,-0.23960815582783956,996.3163252702335
10,10,0.1,0.2,0.1,Gaussian,10,16,-0.03731952760931446,1501.3964248784312
10,10,0.1,0.2,0.1,Gaussian,10,17,-0.6562213438949873,1248.5726101134671
10,10,0.1,0.2,0.1,Gaussian,10,18,0.05925886991945239,1406.3855550602796
10,10,0.1,0.2,0.1,Gaussian,10,19,-0.450162123067633,829.1469802660721
10,10,0.1,0.2,0.1,Gaussian,10,20,0.754215332891629,806.8752139471674
10,10,0.1,0.2,0.1,Gaussian,20,1,0.2785472170424219,705.8906958593034
10,10,0.1,0.2,0.1,Gaussian,20,2,0.18630087188381145,720.6075653957006
10,10,0.1,0.2,0.1,Gaussian,20,3,-0.44030485289358334,1506.1477572785761
10,10,0.1,0.2,0.1,Gaussian,20,4,-0.7625305271473056,1610.1860545559687
10,10,0.1,0.2,0.1,Gaussian,20,5,-0.22842877632565142,1269.2054435393095
10,10,0.1,0.2,0.1,Gaussian,20,6,-0.7680139317421802,749.3119314790387
10,10,0.1,0.2,0.1,Gaussian,20,7,0.4681193419653577,1980.5312131522487
10,10,0.1,0.2,0.1,Gaussian,20,8,-0.6619475693400567,1119.5583630941856
10,10,0.1,0.2,0.1,Gaussian,20,9,-0.5521236289723735,964.9461020678878
10,10,0.1,0.2,0.1,Gaussian,20,10,-0.552449887808097,899.3097639774063
10,10,0.1,0.2,0.1,Gaussian,20,11,-0.5624045608269306,525.2882234280428
10,10,0.1,0.2,0.1,Gaussian,20,12,-0.23010754636952943,909.1038566774602
10,10,0.1,0.2,0.1,Gaussian,20,13,0.18640216420070504,654.2257563529304
10,10,0.1,0.2,0.1,Gaussian,20,14,0.17246795566960094,1087.714160371658
10,10,0.1,0.2,0.1,Gaussian,20,15,-0.22987457142968046,992.2597322041532
10,10,0.1,0.2,0.1,Gaussian,20,16,-0.02382751712191473,2057.726138368406
10,10,0.1,0.2,0.1,Gaussian,20,17,-0.6601429969600141,1467.756524416449
10,10,0.1,0.2,0.1,Gaussian,20,18,0.06827593460540628,1841.0745985421272
10,10,0.1,0.2,0.1,Gaussian,20,19,-0.45239811014444137,708.3290538231104
10,10,0.1,0.2,0.1,Gaussian,20,20,0.760490494941114,679.332361881022
10,10,0.1,0.2,0.1,Gaussian,30,1,0.29336353495470485,599.5680438498356
10,10,0.1,0.2,0.1,Gaussian,30,2,0.20256628545236466,619.3020935818133
10,10,0.1,0.2,0.1,Gaussian,30,3,-0.43316921550029347,1715.94665326484
10,10,0.1,0.2,0.1,Gaussian,30,4,-0.7615900282268887,1802.0142814525993
10,10,0.1,0.2,0.1,Gaussian,30,5,-0.22018578710149864,1369.5146260592705
10,10,0.1,0.2,0.1,Gaussian,30,6,-0.7764310304513584,670.7274798903566
10,10,0.1,0.2,0.1,Gaussian,30,7,0.4730263081386469,2381.6108483098656
10,10,0.1,0.2,0.1,Gaussian,30,8,-0.6663259982667208,1152.0936173776302
10,10,0.1,0.2,0.1,Gaussian,30,9,-0.5530324932130671,945.9958628756716
10,10,0.1,0.2,0.1,Gaussian,30,10,-0.5537060876281105,858.8446564556994
10,10,0.1,0.2,0.1,Gaussian,30,11,-0.5725534235074169,399.1801401998176
10,10,0.1,0.2,0.1,Gaussian,30,12,-0.2228180992780145,866.2225234453733
10,10,0.1,0.2,0.1,Gaussian,30,13,0.2027813228080588,538.9614256071685
10,10,0.1,0.2,0.1,Gaussian,30,14,0.18310194869196705,1102.0126627075206
10,10,0.1,0.2,0.1,Gaussian,30,15,-0.22235334965733725,978.742110031833
10,10,0.1,0.2,0.1,Gaussian,30,16,-0.01218690051493231,2549.350719887339
10,10,0.1,0.2,0.1,Gaussian,30,17,-0.6624091665729396,1628.7833493883115
10,10,0.1,0.2,0.1,Gaussian,30,18,0.07801773633683322,2222.7472511399073
10,10,0.1,0.2,0.1,Gaussian,30,19,-0.45532475292640373,612.6608225943947
10,10,0.1,0.2,0.1,Gaussian,30,20,0.76728658751943,587.1135027001493
10,10,0.1,0.2,0.1,Gaussian,40,1,0.3065193450306236,512.2387248422706
10,10,0.1,0.2,0.1,Gaussian,40,2,0.21726662018024442,534.8211077188628
10,10,0.1,0.2,0.1,Gaussian,40,3,-0.4261860084990616,1876.8940247048397
10,10,0.1,0.2,0.1,Gaussian,40,4,-0.7590641849439635,1918.1685999960862
10,10,0.1,0.2,0.1,Gaussian,40,5,-0.2137064502795556,1444.3527031468113
10,10,0.1,0.2,0.1,Gaussian,40,6,-0.7885394550357353,606.368417551776
10,10,0.1,0.2,0.1,Gaussian,40,7,0.47692871676410575,2642.347499209494
10,10,0.1,0.2,0.1,Gaussian,40,8,-0.6701152487629096,1171.6276644287107
10,10,0.1,0.2,0.1,Gaussian,40,9,-0.5541234586769272,926.6582001135224
10,10,0.1,0.2,0.1,Gaussian,40,10,-0.5552151217535418,822.9462054176
10,10,0.1,0.2,0.1,Gaussian,40,11,-0.5914799814680833,305.3658042709105
10,10,0.1,0.2,0.1,Gaussian,40,12,-0.2174606312591318,824.6323161736053
10,10,0.1,0.2,0.1,Gaussian,40,13,0.22478068618214714,443.1430184071524
10,10,0.1,0.2,0.1,Gaussian,40,14,0.19885008585713715,1094.3503756988628
10,10,0.1,0.2,0.1,Gaussian,40,15,-0.21673364342048973,960.3053583134466
10,10,0.1,0.2,0.1,Gaussian,40,16,-0.0045417181154132815,2917.5761892208643
10,10,0.1,0.2,0.1,Gaussian,40,17,-0.6636029386290326,1737.155723601183
10,10,0.1,0.2,0.1,Gaussian,40,18,0.0864813865450629,2508.112689005556
10,10,0.1,0.2,0.1,Gaussian,40,19,-0.45877094306028504,536.0631224232013
10,10,0.1,0.2,0.1,Gaussian,40,20,0.778206941938939,513.9391951584926
10,10,0.1,0.2,0.1,Gaussian,50,1,0.33022050812664566,434.6817422445453
10,10,0.1,0.2,0.1,Gaussian,50,2,0.241738258558109,459.2414822483833
10,10,0.1,0.2,0.1,Gaussian,50,3,-0.4194931795472979,1996.3209189170777
10,10,0.1,0.2,0.1,Gaussian,50,4,-0.755841626133485,1986.1338657879362
10,10,0.1,0.2,0.1,Gaussian,50,5,-0.20860363203889584,1500.7688171494942
10,10,0.1,0.2,0.1,Gaussian,50,6,-0.8009204233023717,557.0286213788554
10,10,0.1,0.2,0.1,Gaussian,50,7,0.48012056941822195,2789.0060285064906
10,10,0.1,0.2,0.1,Gaussian,50,8,-0.6734233464360632,1184.3692698240393
10,10,0.1,0.2,0.1,Gaussian,50,9,-0.5553226293452571,909.900273804534
10,10,0.1,0.2,0.1,Gaussian,50,10,-0.5568796312048481,793.0208340122864
10,10,0.1,0.2,0.1,Gaussian,50,11,-0.6094423268399244,238.15130024475516
10,10,0.1,0.2,0.1,Gaussian,50,12,-0.2135520681792968,787.2429119685363
10,10,0.1,0.2,0.1,Gaussian,50,13,0.24901335826062113,366.40327129863175
10,10,0.1,0.2,0.1,Gaussian,50,14,0.2127308565043265,1082.3194475421544
10,10,0.1,0.2,0.1,Gaussian,50,15,-0.2125513957340871,941.5666945863185
10,10,0.1,0.2,0.1,Gaussian,50,16,0.0034723296611865553,3166.730390225041
10,10,0.1,0.2,0.1,Gaussian,50,17,-0.6640632192454953,1807.76642509701
10,10,0.1,0.2,0.1,Gaussian,50,18,0.09385245102004636,2700.872548986655
10,10,0.1,0.2,0.1,Gaussian,50,19,-0.46787230834613985,471.2462133811573
10,10,0.1,0.2,0.1,Gaussian,50,20,0.790303190465917,456.6326589118564
10,10,0.1,0.2,0.1,Gaussian,60,1,0.3484972621847841,374.11585184565234
10,10,0.1,0.2,0.1,Gaussian,60,2,0.26283025134374927,399.3712765998733
10,10,0.1,0.2,0.1,Gaussian,60,3,-0.41180059639735705,2087.8011790705123
10,10,0.1,0.2,0.1,Gaussian,60,4,-0.7522486568965122,2027.9093220408565
10,10,0.1,0.2,0.1,Gaussian,60,5,-0.20035231018635968,1552.283631476325
10,10,0.1,0.2,0.1,Gaussian,60,6,-0.8115745247164271,520.7224792077305
10,10,0.1,0.2,0.1,Gaussian,60,7,0.48283930635911976,2863.6347507642254
10,10,0.1,0.2,0.1,Gaussian,60,8,-0.676310077977012,1193.8170622453097
10,10,0.1,0.2,0.1,Gaussian,60,9,-0.5565206852330342,896.7984257810339
10,10,0.1,0.2,0.1,Gaussian,60,10,-0.5585757125796644,769.0709241797525
